defending_team,total_shots_against,total_xGA,total_goals_against,hd_shots_against,md_shots_against,ld_shots_against,games,xGA_per_game,shots_against_per_game,hd_shot_pct,md_shot_pct,ld_shot_pct,is_flyer
ANA,3327,252.95424364301968,256,248,851,2228,74,3.42,45.0,7.5,25.6,67.0,0
BOS,3383,249.91170920981276,227,274,832,2277,74,3.38,45.7,8.1,24.6,67.3,0
BUF,3309,238.8905354418964,218,261,746,2302,74,3.23,44.7,7.9,22.5,69.6,0
CAR,2636,208.10758833208783,213,230,671,1735,73,2.85,36.1,8.7,25.5,65.8,0
CBJ,3308,237.5102615571892,224,263,691,2354,74,3.21,44.7,8.0,20.9,71.2,0
CGY,3286,238.24584250970955,231,260,797,2229,74,3.22,44.4,7.9,24.3,67.8,0
CHI,3418,252.60832617920988,239,270,818,2330,74,3.41,46.2,7.9,23.9,68.2,0
COL,2950,205.64517717137394,179,220,655,2075,73,2.82,40.4,7.5,22.2,70.3,0
DAL,2956,210.0367373579254,199,230,653,2073,74,2.84,39.9,7.8,22.1,70.1,0
DET,3135,219.72582975873317,214,214,727,2194,73,3.01,42.9,6.8,23.2,70.0,0
EDM,3107,236.95956759880312,248,257,721,2129,74,3.2,42.0,8.3,23.2,68.5,0
FLA,2991,233.77581312002712,243,268,701,2022,73,3.2,41.0,9.0,23.4,67.6,0
LAK,3024,214.38150020378794,214,203,735,2086,73,2.94,41.4,6.7,24.3,69.0,0
MIN,3340,217.09920408334168,210,199,654,2487,74,2.93,45.1,6.0,19.6,74.5,0
MTL,3105,241.31777647703672,227,271,790,2044,73,3.31,42.5,8.7,25.4,65.8,0
NJD,3017,217.1278984287162,223,237,678,2102,73,2.97,41.3,7.9,22.5,69.7,0
NSH,3244,242.04690734425733,244,255,742,2247,74,3.27,43.8,7.9,22.9,69.3,0
NYI,3248,248.91633539651497,212,300,806,2142,75,3.32,43.3,9.2,24.8,65.9,0
NYR,3271,241.15286001309116,231,263,712,2296,74,3.26,44.2,8.0,21.8,70.2,0
OTT,2708,195.0481730411098,223,198,594,1916,73,2.67,37.1,7.3,21.9,70.8,0
PHI,2987,206.54702854329474,215,212,652,2123,73,2.83,40.9,7.1,21.8,71.1,1
PIT,3199,229.31846475242517,226,252,718,2229,74,3.1,43.2,7.9,22.4,69.7,0
SEA,3318,224.06007452024508,218,250,660,2408,72,3.11,46.1,7.5,19.9,72.6,0
SJS,3195,231.96097562650837,256,251,742,2202,72,3.22,44.4,7.9,23.2,68.9,0
STL,3065,218.58239374114515,228,245,653,2167,73,2.99,42.0,8.0,21.3,70.7,0
TBL,2913,211.43970529180763,201,221,679,2013,73,2.9,39.9,7.6,23.3,69.1,0
TOR,3678,253.11094236104617,259,251,777,2650,75,3.37,49.0,6.8,21.1,72.1,0
UTA,2986,226.96471348926153,212,231,702,2053,74,3.07,40.4,7.7,23.5,68.8,0
VAN,3326,255.8575312330556,275,276,811,2239,73,3.5,45.6,8.3,24.4,67.3,0
VGK,2926,207.10864246404205,229,222,615,2089,75,2.76,39.0,7.6,21.0,71.4,0
WPG,3135,236.0552713306491,220,287,672,2176,73,3.23,42.9,9.2,21.4,69.4,0
WSH,3253,239.4896075535379,213,262,835,2156,74,3.24,44.0,8.1,25.7,66.3,0
